Page ID	Title	Author	Composition Year	Original Language	Translator	Translation Year	Project	Subject	Source URL	Text
400892	'L temp	Wilhelm Moroder-Lusenberg		ladino			Letteratura	Poesie		"'L temp passa y se muda 
chel udons pu uni dì 
tosc ie-l bel y da suredl 
tosc da nibl, no da'n dì 
y cul temp se'n va i ani 
un 'ndò l' auter a sparon 
y menedrë la recurdanza 
nes resta, chel ie bon."
854039	'Na bbona lezzione	Giuseppe Gioachino Belli	XIX secolo				letteratura	sonetti	Indice:Sonetti romaneschi VI.djvu	
239916	'Na bella idea	Sergio Corazzini	XX secolo	romanesco			Letteratura	Poesie dialettali		"Che vòi, Giggetto mio, m'ero stufato
da dovè stà mattina, giorno e sera
senza avecce gnisuno, ma ò pensato
finarmente che c'era la magnera

d'aripagasse subbito. So' annato
da un giornale a fà mette che c'era
un signore distinto e assai educato
che cercava 'na bona cammeriera.

Se presentorno in quattro; ma de quella
ariunione de serve, me pijai
pe' donna de servizio, la più bella.

Che già è inutile ch'io te l'annisconna
se 'na notte m'occorre... caso mai,
fa commido er servizio de 'na donna!"
413331	'Na memma lungia nun voless	Andrea Vital	1908	romancio				poesie	Indice:Decurtins - Rätoromanische chrestomathie, IX.djvu	
307090	'Na precavuzzione	Giuseppe Gioachino Belli	1835				letteratura	sonetti	Indice:Sonetti romaneschi IV.djvu	
306812	'Na resìa bbell'e bbona	Giuseppe Gioachino Belli	1834				letteratura	sonetti	Indice:Sonetti romaneschi III.djvu	
308456	'Na ssciacquata de bbocca	Giuseppe Gioachino Belli	1843				letteratura	sonetti	Indice:Sonetti romaneschi V.djvu	
470029	... E sluse in zielo come una speranza...	Luigi Bauch	1922				Letteratura	Raccolte di poesie	Indice:Luigi Bauch - ... E sluse in zielo come una speranza..., Zara 1922.djvu	
101193	A 'Mbertu Primu	Bruno Pelaggi	1880	calabrese			letteratura	poesie		"Di sup’a ’sta muntagna
ti jiettu ’na gridata:
siéntila ’sta chjamata
{{R|4}}ed eja priestu.

Non mi fari ’mu riestu
futtutu di lu tuttu,
ca non sai quant’è bruttu
{{R|8}}l’aspittari.

Né arrobba né dinari
truovi a la casa mia;
pirciò ricurru a ttia,
{{R|12}}si bbue ’mu sienti.

’Sti chjanti e ’sti lamienti,
’sti vuci e ’sti suspiri
tòccali, si non cridi,
{{R|16}}cu’ li mani.

Vidi cuom’è la fami,
ca pue mi cridi a mmia,
e vidi s’è bugia
{{R|20}}quantu ti dicu.

Si tu si’ vieru amicu
di li sudditi tue,
opira giustu e pue...
{{R|24}}dorma squitatu.

Si bbue ’mu si’ aduratu
di tutti li ’Taliani,
spartandi lu pani
{{R|28}}e sienti a mmia;

ch’è truoppu tirannia
pi’ nnui, povar’aggenti:
a cu tuttu a cu nenti
{{R|32}}non è giustu.

Duna a cu vue l’arrustu,
lu miegghju e lu cchiù gruossu,
a nnui dunandi n’uossu
{{R|36}}cuomu cani!

Sempi lavuru e pani
circàu lu calabrisi,
ma tu sciali di risi
{{R|40}}e cugghjunìji.

Apira l’uòcchji e bbidi,
jetta ’nu sguardu ’ntuornu,
bbidi ca mai fa juornu
{{R|44}}e sempi è scuru.

Menta, carchi lavuru
’mu ’nd’abbuscamu pani,
ca la morti di fami
{{R|48}}è truoppu cruda!

’Taliani cu’ la cuda
’ndi carculasti a nnui,
ma tu si’ duru cchiùi
{{R|52}}di ’nu macignu!

Mo’ chi cazzu mi ’mpignu
’mu pagu la fundaria,
si la casa mia para
{{R|56}}’nu spitali?

’Nu liettu e ’nu rinali,
’na seggia e ’nu vrascieri:
quandu vena l’ascieri
{{R|60}}pigghja cazzi!

E’ miegghju ’mu ’nd’ammazzi,
ch’è miegghju ’mu murimu!
Chi cazzu lu vulimu
{{R|64}}’stu campari?

Quandu pi’ fatigari
bussamu ad ogni porta
e non ’ndi duna scorta
{{R|68}}nudhu cani?

Basta! - «Simu ’Taliani!»,
gridamma lu Sissanta,
e mmo’ avogghja ’mu canta
{{R|72}}la cicala!

La fami cu’ la pala
si pigghja e cu’ la zzappa;
cu pota si la scappa
{{R|76}}a Novajorca.

A nu’ atri ’ndi tocca
suffriri a mussu chjusu,
cu’ caci a lu pirtusu
{{R|80}}di lu culu!

Vidi ca non su’ sulu
chi cantu ’sta canzuni,
ma parecchji miliuni
{{R|84}}di ’Taliani.

Gridamu pi’ la fami,
miseria e povirtà,
diciendu: - «Maistà,
{{R|88}}pani e lavuru!»

Si parru cu ’nu muru
fuorzi rispundirìa,
ma ca parru cu’ ttia
{{R|92}}pierdu lu tiempu!

Du’ vuoti ’stu lamientu
a ttia ti lu mandai,
non ti dignasti mai
{{R|96}}’mu mi rispundi!

Pecchì ha’ mu nascundi
li gridi calabrisi?
Non pagamu li spisi
{{R|100}}’guali a tutti?

Ma tu ti ’ndi strafutti;
li deputati cchiùi:
duvi ’ncappamma nui,
{{R|104}}povar’aggenti!

Non spirari cchiù nenti,
Calabria sbinturata!
Tu si’ dimìenticata
{{R|108}}pi’ nu tiernu

di Dio, di lu Guviernu
e di lu Ministeru;
pi’ ’na cruci e ’nu zeru
{{R|112}}si stimata

e sulu si’ chjamata
a li suoliti passi:
’mu paghi ’mpuosti e tassi
{{R|116}}e nnenti cchiùi.

Jio mo’ parru cu’ bbui,
ministri e deputati:
chi cazzu priedicati
{{R|120}}«Pro Calabria?»

E mmai si vida l’arva,
sempi simu a lu scuru,
non truvamu lavuru
{{R|124}}pi’ ’nu juornu!

Ggià non aviti scuornu
sempi ’mu pruòmintiti
e mmai nenti faciti
{{R|128}}’mu campamu.

E tu, nuostru Suvranu,
mancu ’nci dici nenti?
Non bbidi ca ’st’aggenti
{{R|132}}’ndi castìja?

Sempi ’ndi cugghjunìja
a tutti ’sti paisi,
ca sgràvanu li spisi
{{R|136}}e fannu strati;

e ’mbeci cchiù gravàti
li spisi e strati nenti;
e nnui, povar’aggenti
{{R|140}}li cridimu...

E ppue quandu bidìmu
smurzata la lanterna,
cu ’na recummaterna
{{R|144}}addio Calabria!"
306145	A Bbucalone	Giuseppe Gioachino Belli	1831				letteratura	sonetti	Indice:Sonetti romaneschi I.djvu	
14074	A Bergamo	Torquato Tasso	1586				letteratura	Poesie		"Terra che ’l Serio bagna e ’l Brembo inonda,
che monti e valli mostri a l’una mano
ed a l’altra il tuo verde e largo piano,
{{R|4}}or ampia ed or sublime ed or profonda;
     perch’io cercassi pur di sponda in sponda
Nilo, Istro, Gange o s’altro è piú lontano,
o mar da terren chiuso o l’oceano,
{{R|8}}che d’ogni intorno lui cinge e circonda,
     riveder non potrei parte piú cara
e gradita di te, da cui mi venne
{{R|11}}in riva al gran Tirren famoso padre,
     che fra l’arme cantò rime leggiadre;
benché la fama tua pur si rischiara
{{R|14}}e Si dispiega al ciel con altre penne."
845387	A biondo crin, che scarmigliato e vago	Antonio Muscettola	XVII secolo				Letteratura	Sonetti	Indice:AA. VV. - Lirici marinisti.djvu	
746663	A buona se' condotto, ser Chiavello	Mino da Colle	XIII secolo					sonetti	Indice:AA. VV. – Sonetti burleschi e realistici dei primi due secoli, Vol. I, 1920 – BEIC 1928288.djvu	
254866	A Cammillo Cavour, nel 1867	Giacomo Zanella	1867				letteratura	Poesie	Indice:Versi di Giacomo Zanella.djvu	
886632	A Carlo Alberto Re	Mauro Colonnetti	1848				Letteratura	Poesie/Odi	Indice:Colonnetti - Ode a Carlo Alberto Re.djvu	
3232	A Carlo Porta	Alessandro Manzoni	1819				letteratura	sonetti		"Lingua mendace che invoca gli Dei
essendo in suo cuore ateo mitologico,
tu credesti ingannare i sensi miei
{{R|4}}con stile affettatamente pedagogico.

Del qual giammai creduto io non avrei
che mi stimassi tanto cacologico
da non discerner sensi buoni e rei
{{R|8}}sotto il velame del linguaggio anfibologico.

Falso avvocato ne fingesti difensore
per tirare in rovina il tuo cliente.
{{R|11}}O stelle! o numi! chi vide un tale orrore?.

E per tradire ancor più impunemente
pigliare un nome caro all'alme Suore
{{R|14}}come la tua inizial spergiura e mente!"
